id,dexNum,methodCount,classification,unknownScopeMethodCount
"unown-r","201","0","classified_fixed","0"
"unown-s","201","0","classified_fixed","0"
"unown-t","201","0","classified_fixed","0"
"unown-u","201","0","classified_fixed","0"
"unown-v","201","0","classified_fixed","0"
"unown-w","201","0","classified_fixed","0"
"unown-x","201","0","classified_fixed","0"
"unown-y","201","0","classified_fixed","0"
"unown-z","201","0","classified_fixed","0"
"wobbuffet","202","0","classified_fixed","0"
"wobbuffet-f","202","0","classified_fixed","0"
"girafarig","203","0","classified_fixed","0"
"girafarig-f","203","0","classified_fixed","0"
"pineco","204","0","single_record","0"
"forretress","205","0","single_record","0"
"dunsparce","206","0","single_record","0"
"gligar","207","0","classified_fixed","0"
"gligar-f","207","0","classified_fixed","0"
"steelix","208","2","modeled","0"
"steelix-f","208","2","modeled","0"
"steelix-mega","208","2","modeled","0"
"snubbull","209","0","single_record","0"
"granbull","210","0","single_record","0"
"qwilfish","211","0","classified_fixed","0"
"qwilfish-hisui","211","0","classified_fixed","0"
"scizor","212","2","modeled","0"
"scizor-f","212","2","modeled","0"
"scizor-mega","212","2","modeled","0"
"shuckle","213","0","single_record","0"
"heracross","214","2","modeled","0"
"heracross-f","214","2","modeled","0"
"heracross-mega","214","2","modeled","0"
"sneasel","215","0","classified_fixed","0"
"sneasel-f","215","0","classified_fixed","0"
"sneasel-hisui","215","0","classified_fixed","0"
"sneasel-hisui-f","215","0","classified_fixed","0"
"teddiursa","216","0","single_record","0"
"ursaring","217","0","classified_fixed","0"
"ursaring-f","217","0","classified_fixed","0"
"slugma","218","0","single_record","0"
"magcargo","219","0","single_record","0"
"swinub","220","0","single_record","0"
"piloswine","221","0","classified_fixed","0"
"piloswine-f","221","0","classified_fixed","0"
"corsola","222","0","classified_fixed","0"
"corsola-galar","222","0","classified_fixed","0"
"remoraid","223","0","single_record","0"
"octillery","224","0","classified_fixed","0"
"octillery-f","224","0","classified_fixed","0"
"delibird","225","0","single_record","0"
"mantine","226","0","single_record","0"
"skarmory","227","1","modeled","0"
"skarmory-mega","227","1","modeled","0"
"houndour","228","0","single_record","0"
"houndoom","229","2","modeled","0"
"houndoom-f","229","2","modeled","0"
"houndoom-mega","229","2","modeled","0"
"kingdra","230","0","single_record","0"
"phanpy","231","0","single_record","0"
"donphan","232","0","classified_fixed","0"
"donphan-f","232","0","classified_fixed","0"
"porygon2","233","0","single_record","0"
"stantler","234","0","single_record","0"
"smeargle","235","0","single_record","0"
"tyrogue","236","0","single_record","0"
"hitmontop","237","0","single_record","0"
"smoochum","238","0","single_record","0"
"elekid","239","0","single_record","0"
"magby","240","0","single_record","0"
"miltank","241","0","single_record","0"
"blissey","242","0","single_record","0"
"raikou","243","0","single_record","0"
"entei","244","0","single_record","0"
"suicune","245","0","single_record","0"
"larvitar","246","0","single_record","0"
"pupitar","247","0","single_record","0"
"tyranitar","248","2","modeled","0"
"tyranitar-mega","248","2","modeled","0"
"lugia","249","0","single_record","0"
"hooh","250","0","single_record","0"
"celebi","251","0","single_record","0"
"treecko","252","0","single_record","0"
"grovyle","253","0","single_record","0"
"sceptile","254","2","modeled","0"
"sceptile-mega","254","2","modeled","0"
"torchic","255","0","classified_fixed","0"
"torchic-f","255","0","classified_fixed","0"
"combusken","256","0","classified_fixed","0"
"combusken-f","256","0","classified_fixed","0"
"blaziken","257","2","modeled","0"
"blaziken-f","257","2","modeled","0"
"blaziken-mega","257","2","modeled","0"
"mudkip","258","0","single_record","0"
"marshtomp","259","0","single_record","0"
"swampert","260","2","modeled","0"
"swampert-mega","260","2","modeled","0"
"poochyena","261","0","single_record","0"
"mightyena","262","0","single_record","0"
"zigzagoon","263","0","classified_fixed","0"
"zigzagoon-galar","263","0","classified_fixed","0"
"linoone","264","0","classified_fixed","0"
"linoone-galar","264","0","classified_fixed","0"
"wurmple","265","0","single_record","0"
"silcoon","266","0","single_record","0"
"beautifly","267","0","classified_fixed","0"
"beautifly-f","267","0","classified_fixed","0"
"cascoon","268","0","single_record","0"
"dustox","269","0","classified_fixed","0"
"dustox-f","269","0","classified_fixed","0"
"lotad","270","0","single_record","0"
"lombre","271","0","single_record","0"
"ludicolo","272","0","classified_fixed","0"
"ludicolo-f","272","0","classified_fixed","0"
"seedot","273","0","single_record","0"
"nuzleaf","274","0","classified_fixed","0"
"nuzleaf-f","274","0","classified_fixed","0"
"shiftry","275","0","classified_fixed","0"
"shiftry-f","275","0","classified_fixed","0"
"taillow","276","0","single_record","0"
"swellow","277","0","single_record","0"
"wingull","278","0","single_record","0"
"pelipper","279","0","single_record","0"
"ralts","280","0","single_record","0"
"kirlia","281","0","single_record","0"
"gardevoir","282","2","modeled","0"
"gardevoir-mega","282","2","modeled","0"
